C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
112772,Customer#000112772,xa2uI6VmaFSgM56J 0clVgCF4kN4I,21,31-824-733-4702,-236.96,BUILDING,odolites dazzle silently along the even accounts. final packages boost fluffily. furiously regular instructi
109291,Customer#000109291,K K0hgimdqWmfnC7F928txfRH5snBoekdl34,23,33-964-541-9573,1614.71,MACHINERY,"s lose according to the express, regular pinto beans. quickly quick packages "
102331,Customer#000102331,o2CCOWfuXB rBGiFFcUSZFlId,24,34-600-633-3725,4653.42,MACHINERY,"ly regular courts maintain furiously-- final, unusual packages use car"
102367,Customer#000102367,vU963YZkh5p9st93h,9,19-917-987-6072,2704.34,FURNITURE,ial platelets detect blithely
21076,Customer#000021076,YJj0zpmcZAy69tKNDh1e,20,30-144-208-9613,1633.87,HOUSEHOLD,"ependencies. foxes alongside of the unusual, final requests snooze carefully "
78295,Customer#000078295,"bcazOS,,8mEJpulLUARyaItrJLQVlJJDR",16,26-699-696-6479,6853.54,MACHINERY,"lly silent theodolites. regular, special platelets haggle above the furiously final ide"
95047,Customer#000095047,r6Xv1WoRvFR1a,3,13-384-374-8116,2837.13,BUILDING,"lyly busy excuses use carefully unusual, even theodolites. furiously regular dinos haggle "
108985,Customer#000108985,KEFJUvAO2e76,11,21-782-277-2916,1433.06,BUILDING,"l multipliers. slyly slow patterns use slyly ironic, pe"
132430,Customer#000132430,VJjgpSM1J9aOalmCMZ6hAokf0,6,16-721-579-2773,7673.20,AUTOMOBILE,ons wake furiously slyly ironic ideas. carefully slow packages against the packages hag
931,Customer#000000931,"M,lWVafqdRIO, WnAyLLt",0,10-349-498-1720,2409.69,BUILDING,s the carefully regular packages: pending
76382,Customer#000076382,",YdLtQxd xSBIsHqdSc",20,30-371-112-3774,-667.26,BUILDING,ngside of the fluffily regular deposits cajole fluffily blithel
29236,Customer#000029236,"lQY8t,iXAtwkqYmkbXapfuW08,ZX1",12,22-151-227-8931,-226.36,MACHINERY,he slyly regular packages. slyly silent packages boost above the furi
21073,Customer#000021073,"PR2Ol7W6Ofo8bvR734 PPbczFolKk,ggmqvBj2",22,32-690-255-6185,2983.97,MACHINERY,"express requests. silent, careful foxes across the deposits sleep across the special accounts. blithely even pinto"
112691,Customer#000112691,g9Y jDI6Qd9UOQ,24,34-331-507-8556,-877.88,AUTOMOBILE,ts. furiously ironic asymptotes sleep carefully. carefully final deposits sleep caref
105112,Customer#000105112,IvC4Mw0PvOzRHiCEJ,16,26-920-468-1014,8995.00,AUTOMOBILE,ully ironic frets was after the slyly express requests. slyly pending accounts wake quickly. quietly ironic re
120469,Customer#000120469,"mb,RlYCV8r",2,12-529-167-4599,6285.56,AUTOMOBILE,final accounts nag carefully across the special accounts. accounts boost. bold
18517,Customer#000018517,WzFE9aDWCs,20,30-349-959-8775,549.25,BUILDING,cording to the quickly ironic theodolites. carefully regular instructi
42001,Customer#000042001,"tSJk4gByvwPKCRVQNV,tzRT",7,17-298-698-1090,2239.52,AUTOMOBILE,xcuses about the special dependenci
62537,Customer#000062537,",G3nALRi9au5 R",24,34-508-209-4987,7848.45,MACHINERY," according to the final ideas. regular, express courts wake slyly past the packag"
92881,Customer#000092881,3iT8yhh8P9doHCoQE4Svnr3CSPz,17,27-889-972-6800,4823.18,FURNITURE,beans. final gifts haggle blithely. blithely bold accounts wake across the quickly silent plat
95692,Customer#000095692,g0Y6acWaZC1rXBSqiq5ktckVob0fdVQXQuEOgRE,3,13-607-823-3362,6137.03,FURNITURE,l accounts besides the carefull
91816,Customer#000091816,BO1mZMXjPaLVTyK,22,32-133-804-4651,1280.16,HOUSEHOLD, pending excuses. blithely bold depths doze carefully! quickly ironic dependencies sleep furiously across the fu
18803,Customer#000018803,"AxqbCl5AyBhmnT2ZcmWv,",7,17-199-252-2833,2344.21,AUTOMOBILE, over the blithely even requests sleep carefully accounts. even requests nag never slyly daring deposits! slyly 
147340,Customer#000147340,8qOrVasfpr0WEA1ZX2 7I6l3bwzfrnYhLhO,20,30-792-535-2512,3051.41,BUILDING,cross the slyly regular packa
148318,Customer#000148318,rNK7Tj0ymVHJUWN1ajQgRGEUs,11,21-394-597-6018,4550.60,FURNITURE,"quests are alongside of the theodolites. final, special foxes nag f"
87796,Customer#000087796,"BTXknqHJ0,Qtf",19,29-482-550-8513,2766.36,MACHINERY,sly regular accounts across the furiously bold deposits haggle blithely ironic accoun
121936,Customer#000121936,elBr08dcKf 97JMmHtn44,6,16-913-454-7147,4060.11,BUILDING,ntly fluffily final pinto beans. theodolites boost ruthless foxes. foxes ag
130550,Customer#000130550,tXeZeNWx6UlUp,3,13-160-749-8440,600.50,BUILDING,kages. bold excuses cajole. furiously pending requests cajole slyly unusual real
101089,Customer#000101089,"LJMdNZyGZ,L7HtAxk Inag4t,GIH7F",8,18-894-265-4874,3035.62,FURNITURE,s. slyly express deposits are furiously fluffily final deposits. theodolites sleep. furi
62099,Customer#000062099,ud3JA483dwehUK2 NkDKnFEG6r,0,10-863-487-4103,6870.27,FURNITURE,fily regular foxes. regular packages affix blithely. quickly
85576,Customer#000085576,"R,8gXWNOFNk5,78gh87EOhEcfZ3,G",2,12-328-198-8672,8009.06,AUTOMOBILE,bove the quickly even instructions! unusual requests mold slowly. even theodolites was carefu
72004,Customer#000072004,"H RN,6rqp3l8,E6ady1XEMFYR9LfHXI4Gs7qhuO",22,32-423-211-6492,4086.53,FURNITURE,l pinto beans detect against the requests. pending deposits are ideas.
89257,Customer#000089257,XWYhyBc6wsl,3,13-480-934-3578,4779.08,AUTOMOBILE,carefully even packages. ideas snooze carefully among the deposits. blithely regular deposits nag careful
129077,Customer#000129077,7bYF8tBHB82o aF85w,14,24-665-596-9255,2552.88,BUILDING,lithely pending packages could have to sleep against the slyly quick deposits. quickly clos
108223,Customer#000108223,7Q0NoPLUSQCf,20,30-273-246-2494,5161.06,AUTOMOBILE,d wake: blithely sly packages cajole. theodolites affix fluffily. unusual theodolites wake
23360,Customer#000023360,"6 8KKj2ZM2,dbq",11,21-541-369-7689,6570.02,MACHINERY,ts. quickly even deposits are qui
68479,Customer#000068479,G5 0UTgd53Rx6ucc2w4QU6uTLJ,2,12-604-146-5176,5434.55,FURNITURE,ss deposits cajole blithely final packages. doggedly sly packages affix furiously.
34888,Customer#000034888,4eJqYROHvP0fwLLKE2xhim,18,28-473-169-7818,5224.26,HOUSEHOLD,e slyly unusual pinto beans wake carefully around the
106225,Customer#000106225,"5WfkXcjxxEd6QKxS1Kwnt,fulr1vUV0fJ",0,10-263-583-1717,1853.75,MACHINERY,efully final pinto beans haggle slyly after the carefully careful ideas.
120656,Customer#000120656,EWKB8mqlQSnOR9nW5B,0,10-250-969-3288,8248.95,FURNITURE,ons nod furiously. slyly final plat
54599,Customer#000054599," 3wN4aB30FZuoLPrhFId,u1ThMj",14,24-470-914-9069,4974.37,BUILDING,ic accounts. blithely ironic 
16073,Customer#000016073,DEhZ3fc8dn9w1,17,27-739-480-8127,3594.02,HOUSEHOLD, against the slyly final realms; slyly silent dependencies sleep furiously. accounts are blit
40282,Customer#000040282,3hCHWIuGW02V9nT jBF87unMFJk,13,23-416-781-4675,7883.53,BUILDING, fluffily even sheaves are bold deposits. final platelets sleep close accoun
71681,Customer#000071681,bH EFCd9ybQdhxOpX3LApjCrL0CiJzHOXo,12,22-199-525-3721,6174.49,BUILDING,"cies. carefully careful accounts use pending accounts. even, thin instructions use furiously slyly c"
116404,Customer#000116404,OiUKYa7QJH GEYYMRJc9sdJ J1d,10,20-335-758-4217,4904.95,BUILDING,into beans are blithely after the slyly sly courts. slyly regular pla
89198,Customer#000089198,"VTAepwP,,6 aNgg0iNACWbkSO4q6m30",14,24-337-922-5714,3158.06,MACHINERY,y even pinto beans. asymptotes around the fluffily special dependencies boost slyly across the quickl
25102,Customer#000025102,M6Oo4hLMkc3jRl NX0BAj,6,16-353-330-7246,7078.45,FURNITURE,into beans. deposits eat slyly even co
128845,Customer#000128845,rLfCxP0Nq9JCM3oObN,3,13-113-616-1925,3256.47,HOUSEHOLD,ithely unusual packages. furiously even accounts above the carefully ironic deposits boost slyly packag
64807,Customer#000064807,oDuNlJsU9W6F d FkElDLIH,23,33-173-394-8317,3178.42,AUTOMOBILE,e asymptotes. furiously bold requests use multipliers. furiously regular foxes haggle furiously. express instruc
19451,Customer#000019451,"25LWEYyTeaTixzab,vXQ5d6Pybwj",20,30-817-475-3176,9667.27,FURNITURE,ironic requests haggle fluffi
13616,Customer#000013616,VNoKvbrvolZal iA2NO2151qH7u9h o71ejMjR,14,24-778-514-7039,5876.48,FURNITURE,pending packages. carefully even theodolites eat fluffy instructions. car
5531,Customer#000005531,d49dQvoH7ehbeo6RzHN2mXR,3,13-254-693-1493,7798.77,BUILDING,en theodolites sleep slyly regular pinto beans. quickly pending platelets wake 
37142,Customer#000037142,PClDGVu96JkEg gTxff,4,14-582-656-1171,1298.56,AUTOMOBILE,arefully final instructions cajole quickly.
81382,Customer#000081382,47qyTQoNRjKGkFoXNCti9dLYwPR9ZTi3peamVDk,6,16-492-221-2478,9277.69,FURNITURE,"ously express dolphins detect quickly special deposits. regular, bold deposits sleep slyly"
73057,Customer#000073057,nUE Y32mR QBLjWory12vX0TxNK80,15,25-205-833-6965,6701.95,BUILDING,"quests. slyly pending accounts affix quickly dolphins. regular, final accounts"
134353,Customer#000134353,"g8trFwQwZf,30xEZzjnpes7iSmb1wRWF9liheAu",24,34-279-561-9480,-983.36,HOUSEHOLD,"rs across the carefully silent deposits cajole carefully slyly express instructions. express, r"
32725,Customer#000032725,"OM7bK AAChNME,NOBfPEhFiJmH1oBmAMv",24,34-209-546-9684,1550.93,AUTOMOBILE,ironic packages cajole furiously about the slyly ironic deposits. quickly pending i
109708,Customer#000109708,1VUBYInNLOl,20,30-250-253-7838,2003.33,HOUSEHOLD,odolites. furiously even deposits wake furiously slyly silent sentiments. quietly pending instructions doubt a
87649,Customer#000087649,qmnWO5IXLFvgxlsKOJ,13,23-110-830-6715,5921.97,FURNITURE,"l, special asymptotes against the fluffily unusual dinos are carefully along the pinto beans. packages "
93679,Customer#000093679,sOuwDTdlUEvXGNeE8lNwF3dc1,15,25-902-703-3828,691.17,HOUSEHOLD,uickly regular dependencies. furiously even instructions over 
51823,Customer#000051823,z9QlqMQqTqJ,15,25-854-426-6898,6778.95,MACHINERY,"ending, final decoys haggle slyly carefully final pinto beans. brave pint"
55597,Customer#000055597,"OrZc,tHQvDa0Fd1i1dhEmKaN h,jyNLIaKg,",12,22-598-591-7706,4744.66,BUILDING,"ies above the express, even depths sleep around the furiously bold deposits. pending, unus"
73804,Customer#000073804,XOmBQfXwLGkqCqh,15,25-264-104-2365,5286.98,HOUSEHOLD,ely unusual deposits. ruthlessly bold excuses are slyly express dinos. boldly pending req
127153,Customer#000127153,EpqLKGX2AiJv7EZYyoKv,9,19-375-635-4388,1562.78,FURNITURE,wake among the finally express packages; fluffily ironic requests at the carefully special pa
145084,Customer#000145084,dSbu947cYlThfSSsTudbMkQD1WfubazwAPaWm2B,10,20-220-936-5048,-312.29,MACHINERY,ccounts play furiously carefully expres
53077,Customer#000053077,gMtATzhLHRYCdUya5P,0,10-949-934-2595,2781.73,AUTOMOBILE,"refully regular, special foxes. daringly regular accounts haggle slyly. blithely even foxes are"
28259,Customer#000028259,UEkLfth10rMadeyNc5 02prh3ls6Ll8,18,28-612-330-6034,9835.92,HOUSEHOLD,ily express accounts sleep furiously b
128482,Customer#000128482,74zM3qb8K8uCEcgelV4FgvnNKw1fRjDsfz7hlyIS,22,32-609-996-9698,8584.77,HOUSEHOLD,pecial requests: blithely pending accounts wake regularly! carefully regular requests wake carefully ac
56309,Customer#000056309,GCfTq31VdD3aDZrDczz,17,27-430-170-3972,7017.69,HOUSEHOLD,into beans. carefully pending sauternes sleep carefully furiously final inst
87281,Customer#000087281,"1Scin5k2KHy5B8P58P9YVfOnsg,kjJtuIH",16,26-192-284-5318,6652.99,MACHINERY,across the furiously unusual theodolites use furiou
68974,Customer#000068974,"bVI,GnN4MEq84wmIeVsZg8G,pNj2nw Jnv1IK2g",21,31-340-714-7076,3774.25,HOUSEHOLD,carefully bold forges. quickly pending pinto beans haggle across the slyly express foxes. idly special pains sleep f
132952,Customer#000132952,"M3KHV,I5VUVJJO5F6sQj, mCR9",22,32-296-672-6853,2065.55,FURNITURE,ckages. bold deposits boost. furious
128363,Customer#000128363,"Dw9j,EzkBYMrpwqEg7SMHuwj0RJmR2aBzbgHBQLa",1,11-552-323-3020,4514.11,HOUSEHOLD,ly. requests affix slyly inside 
92270,Customer#000092270,Turhy9788feD9avaMvByNX wGs4l7TB1ZIcEQg,22,32-871-765-6753,9629.08,HOUSEHOLD,nt at the slyly unusual asymptotes. quick
117469,Customer#000117469,3b560JYlTXEP2gLonbl5hCArXKmDNLtME30,13,23-441-546-3205,-848.03,HOUSEHOLD,ove the carefully even packages. slyly even platelets
1477,Customer#000001477,nUT6kGEr7tmgpJaPgfFtXY,6,16-407-756-8079,9103.33,MACHINERY,ites nag blithely alongside of the ironic accounts. accounts use. carefully silent deposits
47831,Customer#000047831,F4Hd1NLTLMh,4,14-496-911-1955,-77.88,BUILDING, to the fluffily express deposits cajole slyly across the slyly even hocke
7567,Customer#000007567,"N,PhTEjpPhXhMxmveskZ9Dt0FoBn v",3,13-997-516-2221,5766.58,AUTOMOBILE,deas sleep furiously at the carefully even accounts. carefully bold 
1793,Customer#000001793,B13zlM7kKBKt,19,29-393-128-9130,7329.58,HOUSEHOLD,ringly furiously bold requests.
11099,Customer#000011099,74CXNcHARaimQz55pHe,21,31-417-506-9402,9689.07,AUTOMOBILE,ckly. regular deposits are ruthlessly along the boldly regular accounts.
123251,Customer#000123251,DiA9Yy0Zvv3uXk4qGPjorCMJYwrAC6NVm,21,31-552-232-8620,7719.39,HOUSEHOLD,he furiously ironic pinto beans. furiously unusual requests sublate. blithely bold pac
116975,Customer#000116975,cp27Xmm 5sru cVzTLZV2AhnT wj9DIp9,1,11-545-164-8225,-921.25,MACHINERY," beans. slyly silent deposits are thinly final, bold pinto beans. slyly special deposits cajole quickly "
111668,Customer#000111668,JYQsUjFwv5zG1VlZthfUWRkPpkJvhXzZV,13,23-912-601-9617,9533.75,HOUSEHOLD,he final deposits. furiously final deposits are fluffily along the fluffily ironic courts
46945,Customer#000046945,"dtgNzK3y,y9L19qx",22,32-430-505-1011,8815.59,HOUSEHOLD,gle furiously final deposits-- slyly regular pinto beans cajole according to the car
87469,Customer#000087469, 4DOqEY4wGDHkSPyAisHBrYkUuapgKXEb0,18,28-848-756-4427,-509.08,MACHINERY,refully ironic dugouts. regular pinto beans nod furiously. carefully bold deposits 
119467,Customer#000119467,8uwLK A6vGzzKVPBAvuJeV8U9e0Ii,4,14-518-466-1741,724.35,AUTOMOBILE,uriously express instructions affix furiously after the deposits
59474,Customer#000059474,sz97tc3Rt0Z1Ys,3,13-108-906-6713,1479.66,BUILDING,ckly. quickly ironic ideas wake slyly about the pinto beans. busy platelets
140266,Customer#000140266,QFNqDWjcLjcg2MkkzA6pp9rKg,13,23-130-820-5323,580.83,MACHINERY,uriously ironic ideas. slyly final deposits thrash carefully slyly quick theodo
19663,Customer#000019663,HdYu6x htGGD9,17,27-500-614-3468,5113.73,BUILDING,yly regular requests. ironic ideas maintain quickly dolphins! ironic req
135964,Customer#000135964,2 akdXtTxFe8WOCCvDHPiw2ZP3YD3gbUOSG7bDs,6,16-695-461-4224,1932.38,HOUSEHOLD,ounts are carefully across the fluffily slow escapades? fluffily even foxes haggle blithely among
34099,Customer#000034099,"nSD8m8zwzRwRCTB,poEvJEc8HZ2t",14,24-820-972-6128,594.22,HOUSEHOLD,fully pending packages wake carefully express requ
83086,Customer#000083086,ILCvDd9B2882UJxv1q3x7M,15,25-387-141-5853,7305.54,HOUSEHOLD,"y ruthless packages. blithely silent theodolites sleep slyly ironic accounts. regular, final patterns nag quick"
61060,Customer#000061060,"vHtd,ZWaMD8C9K8wP,",23,33-631-825-3157,8471.24,HOUSEHOLD,"ke ironic packages. blithely special excuses cajole regular, ironic escapades. blithel"
69001,Customer#000069001,XRms327MRbXKEqrxFF9Pw 0zmuVKF3dt,17,27-954-160-6897,3538.98,AUTOMOBILE,ding asymptotes cajole slyly since the final
88909,Customer#000088909,"f6HMZl7nOFkL4WlTYEtc6gPS,6kHVqACfbGQVxN",24,34-279-379-9681,8926.79,MACHINERY,dly final theodolites wake. quickly express platelets wake carefully
39032,Customer#000039032,"6pXkdpbu,RM,0emR3B",14,24-990-754-6447,7141.16,FURNITURE,timents sleep pending deposit
25675,Customer#000025675,"6rL6lFHpmxJatR1yRCA3Nuv4d,OaCm",0,10-166-327-9279,5085.15,MACHINERY,gle furiously across the ironic accounts. pa
18181,Customer#000018181,"4EoqiCT3YeaA575,Dsa8y2bCK7d5",1,11-487-506-6164,2387.83,MACHINERY,"ons about the slyly bold hockey players nag blithely idly final requests. close, thin hockey players after the bold "
82306,Customer#000082306,0dZTbOc4nuMsUfWPVJSb,8,18-464-466-2918,8077.08,HOUSEHOLD,"pinto beans: bold packages wake slyly according to the carefully bold deposits-- pending, regular platelet"
25891,Customer#000025891,SUpWEXEBfKUA,23,33-407-574-3958,2831.70,AUTOMOBILE,posits hang finally along the slyly regula
23516,Customer#000023516,5qUOO3ZJD1U5B6,2,12-570-586-3805,1755.54,AUTOMOBILE, slyly special pinto beans haggle. ev
108082,Customer#000108082,ZUgOdwuzshH2rDxxNtlZ,8,18-428-375-4231,8008.28,HOUSEHOLD,are blithely across the carefully regular courts. blithely final packages boost finally across the foxes. fluf
46910,Customer#000046910,"XyZfHLe6Nns982ALwAEhSVSU,1Z,bSy",6,16-764-678-3864,7034.92,BUILDING,ding requests wake furiously around the deposits. ironic foxes wake ironic grouches. blithely regular pinto bean
121721,Customer#000121721,yEKn0ct1yrdHk,12,22-698-245-4882,-952.57,FURNITURE,"gle permanently even, ironic ideas. special, final r"
50132,Customer#000050132,"JqJeIy,E,QU",13,23-690-146-6351,8845.58,MACHINERY,ecial theodolites. carefully even instructions wake furiously 
56582,Customer#000056582,qy8tLFR0IN1MeWaKgDy8 MZVYot7WbOuMzhw0bn9,18,28-660-396-7652,7678.90,FURNITURE, even dugouts sleep carefully sly
